id_onada,onada,vpdef,dia_Enquesta,mes_enquesta,provincia,p46,zones específiques,sexe,edat_m,edat_rec,fills,sit_lab,dies_sortida,dies_sortida_m,p25_1Treballar,p25_2comprar,p25_3gos,p25_4tabac,p25_5premsa,p25_6cura_persones,p25_7metge,p25_8compra_familiar,p25_9alimentar,p25_11passejarfills,p25_97altres,p25_99nc,p23_1_nerviós,p23_2_irritat,p23_3_alegre,p23_4_melancolic,p23_5_tens,p23_6_optimista,p23_7_desanimat,p23_8_enutjat,p23_9_ansios,p23_10_apagat,p23_11_molest,p23_12_animat,p23_13_intranquil,p23_14_enfadat,p23_15_content,p23_16_trist,E1,E2,E3,E4,p31_1,p31_2,p31_3,p31_4,p32_1,p32_2,p32_3,p32_4,dies_m,dies_rec
51054,5,0.042936825385431,2,5,Tarragona,Municipi de més de 100.000 habitants,Reus,Dona,43,31-45 anys,Sí,Treballador/a amb contracte fixe,Cada dia (els 7 dies),7,No,Surt de casa Per anar a comprar coses bàsiques,Surt de casa Per anar a passejar al gos,No,No,No,No,No,No,Surt de casa Per sortir a passejar una hora amb els fills,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Poc,Poc,Poc,Poc,Poc,Poc,Bastant,35,31-45 dies
51055,5,0.108296162956407,2,5,Tarragona,Municipi de més de 100.000 habitants,Reus,Dona,30,16-30 anys,No,Treballador/a amb contracte fixe,No he sortit cap dia,0,No,No,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Poc,Poc,Molt,Poc,Bastant,Bastant,Molt,20,Fins 30 dies
51056,5,0.250640963543364,2,5,Tarragona,Municipi d’entre 1.000 i 5.000 habitants,Resta,Home,38,31-45 anys,Sí,Treballador/a amb contracte fixe,Cada dia (els 7 dies),7,No,No,No,No,No,No,No,No,No,Surt de casa Per sortir a passejar una hora amb els fills,0,0,,,,,,,,,,,,,,,,,,,,,Bastant,Molt,Molt,Molt,Gens,Bastant,Molt,Molt,20,Fins 30 dies
51057,5,0.144088423213309,2,5,Tarragona,Municipi d’entre 1.000 i 5.000 habitants,Resta,Dona,40,31-45 anys,Sí,Treballador/a amb contracte temporal,5 dies,5,Surt de casa Per anar a treballar,No,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Bastant,Poc,Bastant,Poc,Bastant,Poc,Molt,65,Més de 60 dies
51058,5,0.063784673081184,2,5,Lleida,Municipi d’entre 1.000 i 5.000 habitants,Torrefarrera,Dona,53,46-65 anys,Sí,Aturat/da,1 dia,1,No,Surt de casa Per anar a comprar coses bàsiques,Surt de casa Per anar a passejar al gos,Surt de casa Per anar a comprar tabac,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Gens,Bastant,Poc,Molt,Molt,Bastant,Bastant,Molt,25,Fins 30 dies
51059,5,0.042936825385431,2,5,Tarragona,Municipi de més de 100.000 habitants,Reus,Dona,43,31-45 anys,Sí,Tasques domèstiques no remunerades,1 dia,1,No,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Molt,Molt,Molt,Molt,Molt,Molt,Bastant,Molt,55,46-60 dies
51060,5,0.210818364235537,2,5,Tarragona,Municipi de més de 100.000 habitants,Tarragona,Home,69,+65 anys,No,Empresari/ària,6 dies,6,Surt de casa Per anar a treballar,No,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Bastant,Bastant,Bastant,Bastant,Poc,Poc,Poc,Molt,40,31-45 dies
51061,5,2.17440820381198,2,5,Barcelona,Municipi d’entre 10.001 i 100.000 habitants,Resta,Dona,39,31-45 anys,No,Jubilat/da o pensionista,No he sortit cap dia,0,No,No,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Bastant,Molt,Bastant,Bastant,Bastant,Bastant,Bastant,Poc,20,Fins 30 dies
51062,5,2.17440820381198,2,5,Barcelona,Municipi de més de 100.000 habitants,Resta,Dona,41,31-45 anys,Sí,Treballador/a amb contracte fixe,5 dies,5,Surt de casa Per anar a treballar,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,No,No,Surt de casa Per sortir a passejar una hora amb els fills,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Poc,Bastant,Molt,Poc,Poc,Bastant,Molt,35,31-45 dies
51063,5,0.318641183080888,2,5,Tarragona,Municipi d’entre 10.001 i 100.000 habitants,Resta,Dona,54,46-65 anys,Sí,Aturat/da,1 dia,1,No,No,No,No,No,Surt de casa Per anar a cuidar una persona dependent,No,Surt de casa Per fer la compra per un familiar/conegut,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Bastant,Bastant,Molt,Molt,Bastant,Bastant,Molt,20,Fins 30 dies
51064,5,0.125882936539086,2,5,Tarragona,Municipi d’entre 10.001 i 100.000 habitants,Amposta,Dona,51,46-65 anys,Sí,Treballador/a amb contracte fixe,3 dies,3,Surt de casa Per anar a treballar,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Poc,Poc,Bastant,Poc,Poc,Bastant,Molt,20,Fins 30 dies
51065,5,0.103120853594831,2,5,Tarragona,Municipi de més de 100.000 habitants,Reus,Home,43,31-45 anys,Sí,Treballador/a amb contracte fixe,6 dies,6,Surt de casa Per anar a treballar,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,No,No,Surt de casa Per sortir a passejar una hora amb els fills,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Bastant,Bastant,Bastant,Poc,Molt,Bastant,Bastant,50,46-60 dies
51066,5,0.103120853594831,2,5,Tarragona,Municipi de més de 100.000 habitants,Reus,Home,38,31-45 anys,No,Treballador/a amb contracte temporal,Cada dia (els 7 dies),7,Surt de casa Per anar a treballar,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,Surt de casa Per una visita o tractament mèdic,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Bastant,Molt,Bastant,Bastant,Molt,Molt,Molt,Molt,35,31-45 dies
51067,5,0.210818364235537,2,5,Tarragona,Municipi de més de 100.000 habitants,Tarragona,Home,60,46-65 anys,Sí,Funcionari/ària,Cada dia (els 7 dies),7,Surt de casa Per anar a treballar,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Molt,Molt,Molt,Bastant,Molt,Molt,Molt,Bastant,50,46-60 dies
51068,5,0.128298033194794,2,5,Tarragona,Municipi de més de 100.000 habitants,Reus,Home,66,+65 anys,No,Jubilat/da o pensionista,5 dies,5,No,Surt de casa Per anar a comprar coses bàsiques,No,No,Surt de casa Per anar comprar premsa,Surt de casa Per anar a cuidar una persona dependent,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Bastant,Molt,Bastant,Molt,Molt,Molt,Molt,Molt,,Ns/Nc
51069,5,4,2,5,Barcelona,Municipi d’entre 10.001 i 100.000 habitants,Resta,Dona,57,46-65 anys,Sí,Treballador/a amb contracte fixe,No he sortit cap dia,0,No,No,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Bastant,Molt,Bastant,Molt,Molt,Molt,Molt,Molt,35,31-45 dies
51070,5,0.210818364235537,2,5,Tarragona,Municipi de més de 100.000 habitants,Tarragona,Home,66,+65 anys,No,Jubilat/da o pensionista,3 dies,3,No,Surt de casa Per anar a comprar coses bàsiques,No,No,Surt de casa Per anar comprar premsa,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Bastant,Bastant,Bastant,Bastant,Bastant,Molt,Bastant,95,Més de 60 dies
51071,5,0.169447411874406,2,5,Tarragona,Municipi de més de 100.000 habitants,Tarragona,Home,45,31-45 anys,No,Treballador/a amb contracte fixe,3 dies,3,Surt de casa Per anar a treballar,No,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Bastant,Bastant,Bastant,Bastant,Bastant,Bastant,Bastant,Poc,45,31-45 dies
51072,5,0.169447411874406,2,5,Tarragona,Municipi d’entre 10.001 i 100.000 habitants,Tarragona,Home,38,31-45 anys,Sí,Treballador/a amb contracte fixe,5 dies,5,Surt de casa Per anar a treballar,No,No,No,No,No,No,No,No,Surt de casa Per sortir a passejar una hora amb els fills,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Bastant,Bastant,Bastant,Bastant,Bastant,Molt,Molt,25,Fins 30 dies
51073,5,0.042936825385431,2,5,Tarragona,Municipi de més de 100.000 habitants,Reus,Dona,49,46-65 anys,Sí,Treballador/a amb contracte temporal,No he sortit cap dia,0,No,No,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Bastant,Molt,Bastant,Bastant,Bastant,Bastant,Bastant,Molt,35,31-45 dies
51074,5,0.311835497279803,2,5,Tarragona,Municipi d’entre 1.000 i 5.000 habitants,Resta,Home,54,46-65 anys,Sí,Treballador/a amb contracte fixe,Cada dia (els 7 dies),7,Surt de casa Per anar a treballar,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,No,Surt de casa Per anar a alimentar a animals,0,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Bastant,Bastant,Molt,Bastant,Molt,Bastant,Molt,35,31-45 dies
51075,5,0.050172585243974,2,5,Lleida,Municipi d’entre 1.000 i 5.000 habitants,Torrefarrera,Home,48,46-65 anys,Sí,Treballador/a amb contracte fixe,1 dia,1,No,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Poc,Poc,Poc,Bastant,Bastant,Poc,Poc,35,31-45 dies
51076,5,4,2,5,Barcelona,Municipi de més de 100.000 habitants,Resta,Dona,56,46-65 anys,Sí,Treballador/a amb contracte fixe,3 dies,3,No,Surt de casa Per anar a comprar coses bàsiques,No,No,No,Surt de casa Per anar a cuidar una persona dependent,No,Surt de casa Per fer la compra per un familiar/conegut,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Poc,Poc,Poc,Bastant,Poc,Poc,Molt,15,Fins 30 dies
51077,5,0.363422847878615,2,5,Tarragona,Municipi d’entre 5.001 i 10.000 habitants,Resta,Dona,26,16-30 anys,No,Treballador/a amb contracte fixe,4 dies,4,No,Surt de casa Per anar a comprar coses bàsiques,No,Surt de casa Per anar a comprar tabac,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Bastant,Bastant,Bastant,Poc,Molt,Bastant,Bastant,Bastant,30,Fins 30 dies
51078,5,0.134486446580284,2,5,Tarragona,Municipi de més de 100.000 habitants,Tarragona,Dona,56,46-65 anys,No,Funcionari/ària,2 dies,2,No,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,No,No,0,Altres motius per sortir de casa,0,,,,,,,,,,,,,,,,,,,,,Bastant,Bastant,Bastant,Bastant,Molt,Molt,Molt,Molt,20,Fins 30 dies
51079,5,0.311835497279803,2,5,Tarragona,Municipi d’entre 1.000 i 5.000 habitants,Resta,Home,59,46-65 anys,No,Empresari/ària,2 dies,2,Surt de casa Per anar a treballar,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Bastant,Molt,Bastant,Bastant,Molt,Molt,Bastant,Bastant,20,Fins 30 dies
51080,5,2.408898697094,2,5,Girona,Municipi d’entre 10.001 i 100.000 habitants,Resta,Home,55,46-65 anys,Sí,Aturat/da,3 dies,3,No,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,No,No,Surt de casa Per sortir a passejar una hora amb els fills,0,0,,,,,,,,,,,,,,,,,,,,,Molt,Molt,Molt,Molt,Molt,Molt,Molt,Molt,21,Fins 30 dies
51081,5,0.144088423213309,2,5,Tarragona,Municipi de menys de 1.000 habitants,Resta,Dona,37,31-45 anys,Sí,Funcionari/ària,5 dies,5,No,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,No,No,Surt de casa Per sortir a passejar una hora amb els fills,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Poc,Poc,Bastant,Poc,Poc,Poc,Bastant,45,31-45 dies
51082,5,0.144088423213309,2,5,Tarragona,Municipi d’entre 5.001 i 10.000 habitants,Resta,Dona,44,31-45 anys,No,Autònom/a,1 dia,1,No,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Bastant,Poc,Bastant,Molt,Molt,Molt,Molt,35,31-45 dies
51083,5,0.250640963543364,2,5,Tarragona,Municipi de menys de 1.000 habitants,Resta,Home,46,46-65 anys,Sí,Treballador/a amb contracte fixe,5 dies,5,Surt de casa Per anar a treballar,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Bastant,Bastant,Bastant,Bastant,Poc,Poc,Poc,Poc,20,Fins 30 dies
51084,5,0.318641183080888,2,5,Tarragona,Municipi d’entre 1.000 i 5.000 habitants,Resta,Dona,58,46-65 anys,No,Treballador/a amb contracte temporal,Cada dia (els 7 dies),7,Surt de casa Per anar a treballar,No,Surt de casa Per anar a passejar al gos,No,No,No,No,No,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Poc,Bastant,Bastant,Poc,Poc,Bastant,Molt,35,31-45 dies
51085,5,0.094951700722668,2,5,Tarragona,Municipi de més de 100.000 habitants,Reus,Dona,55,46-65 anys,Sí,Funcionari/ària,4 dies,4,Surt de casa Per anar a treballar,Surt de casa Per anar a comprar coses bàsiques,No,No,No,No,No,Surt de casa Per fer la compra per un familiar/conegut,No,0,0,0,,,,,,,,,,,,,,,,,,,,,Poc,Bastant,Bastant,Molt,Bastant,Bastant,Bastant,Molt,35,31-45 dies
